Ref,Councillor,Date received,Service area,Directorate
14862360,"Adams, Patrick ",2023-11-01,Environmental Services,Place
15478744,"Adams, Patrick ",2024-02-01,Environmental Services,Place
14232700,"Amaning, Esther",2023-07-01,Libraries and Communities,Place
14260789,"Amaning, Esther",2023-07-01,Exchequer Services,Finance
14284344,"Amaning, Esther",2023-07-01,Exchequer Services,Finance
14316832,"Amaning, Esther",2023-08-01,Libraries and Communities,Place
14368140,"Amaning, Esther",2023-08-01,Planning and Regulation,Place
14427444,"Amaning, Esther",2023-08-01,Housing Services,Place
14433008,"Amaning, Esther",2023-08-01,Housing Services,Place
14452660,"Amaning, Esther",2023-08-01,Housing Services,Place
14735936,"Amaning, Esther",2023-10-01,Housing Services,Place
14897816,"Amaning, Esther",2023-11-01,Housing Services,Place
14934804,"Amaning, Esther",2023-12-01,0-25 SEND,Educational Achievement & Inclusion
14971760,"Amaning, Esther",2023-12-01,"Highways, Traffic and Infrastructure",Place
15192248,"Amaning, Esther",2024-02-01,Housing Services,Place
15341228,"Amaning, Esther",2024-03-01,Housing Services,Place
15356884,"Amaning, Esther",2024-03-01,Environmental Services,Place
15399544,"Amaning, Esther",2024-03-01,Exchequer Services,Finance
15462220,"Amaning, Esther",2024-04-01,Housing Services,Place
15539453,"Amaning, Esther",2024-04-01,Exchequer Services,Finance
15555709,"Amaning, Esther",2024-04-01,"Highways, Traffic and Infrastructure",Place
15588316,"Amaning, Esther",2024-04-01,Housing Services,Place
15633956,"Amaning, Esther",2024-05-01,Housing Services,Place
15635956,"Amaning, Esther",2024-05-01,Housing Services,Place
15805040,"Amaning, Esther",2024-06-01,Complaints and FOI Team,Finance
14285344,"Asunramu, Zainab",2023-07-01,Housing Services,Place
14759860,"Asunramu, Zainab",2023-10-01,0-25 SEND,Educational Achievement & Inclusion
15081048,"Asunramu, Zainab",2024-01-01,Housing Services,Place
15081748,"Asunramu, Zainab",2024-01-01,Housing Services,Place
15085248,"Asunramu, Zainab",2024-01-01,Environmental Services,Place
15094712,"Asunramu, Zainab",2024-01-01,Libraries and Communities,Place
15133004,"Asunramu, Zainab",2024-01-01,Housing Services,Place
15401144,"Asunramu, Zainab",2024-03-01,Planning and Regulation,Place
15574188,"Asunramu, Zainab",2024-04-01,Parking Enforcement (Bexley and Bromley),Place
15576888,"Asunramu, Zainab",2024-04-01,Parking Enforcement (Bexley and Bromley),Place
15761012,"Asunramu, Zainab",2024-06-01,Housing Services,Place
14873724,"Bacon, Cheryl",2023-11-01,Parking Enforcement (Bexley and Bromley),Place
14885252,"Bacon, Cheryl",2023-11-01,Housing Services,Place
15194648,"Bacon, Cheryl",2024-02-01,"Strategic Education Partnership, Improvement & Inclusion",Educational Achievement & Inclusion
14235400,"Ball, Chris",2023-07-01,"Highways, Traffic and Infrastructure",Place
14259589,"Ball, Chris",2023-07-01,Environmental Services,Place
14323696,"Ball, Chris",2023-08-01,Environmental Services,Place
14416680,"Ball, Chris",2023-08-01,Housing Services,Place
14416980,"Ball, Chris",2023-08-01,Environmental Services,Place
14418780,"Ball, Chris",2023-08-01,Housing Services,Place
14419580,"Ball, Chris",2023-08-01,Housing Services,Place
14455960,"Ball, Chris",2023-08-01,Housing Services,Place
14476020,"Ball, Chris",2023-09-01,Strategic Planning,Place
14518300,"Ball, Chris",2023-09-01,Housing Services,Place
14524832,"Ball, Chris",2023-09-01,Housing Services,Place
14554980,"Ball, Chris",2023-09-01,"Highways, Traffic and Infrastructure",Place
14562344,"Ball, Chris",2023-09-01,Housing Services,Place
14570972,"Ball, Chris",2023-09-01,Exchequer Services,Finance
14666805,"Ball, Chris",2023-10-01,Leisure Parks and Open Spaces,Place
14693524,"Ball, Chris",2023-10-01,Planning and Regulation,Place
14714448,"Ball, Chris",2023-10-01,Housing Services,Place
14744232,"Ball, Chris",2023-10-01,"Highways, Traffic and Infrastructure",Place
14763860,"Ball, Chris",2023-10-01,Housing Services,Place
14791648,"Ball, Chris",2023-11-01,Libraries and Communities,Place
14797812,"Ball, Chris",2023-11-01,Environmental Services,Place
14889384,"Ball, Chris",2023-11-01,Planning and Regulation,Place
14889687,"Ball, Chris",2023-11-01,Planning and Regulation,Place
14934204,"Ball, Chris",2023-12-01,Environmental Services,Place
14935704,"Ball, Chris",2023-12-01,Environmental Services,Place
14967560,"Ball, Chris",2023-12-01,Housing Services,Place
14982256,"Ball, Chris",2023-12-01,Housing Services,Place
14991053,"Ball, Chris",2023-12-01,Libraries and Communities,Place
15004548,"Ball, Chris",2023-12-01,Housing Services,Place
15037636,"Ball, Chris",2024-01-01,Environmental Services,Place
15134304,"Ball, Chris",2024-01-01,Housing Services,Place
15146569,"Ball, Chris",2024-01-01,Housing Services,Place
15148868,"Ball, Chris",2024-01-01,Planning and Regulation,Place
15224600,"Ball, Chris",2024-02-01,Leisure Parks and Open Spaces,Place
15315544,"Ball, Chris",2024-02-01,Housing Services,Place
15336032,"Ball, Chris",2024-03-01,Housing Services,Place
15369108,"Ball, Chris",2024-03-01,Housing Services,Place
15370308,"Ball, Chris",2024-03-01,Strategic Planning,Place
15372408,"Ball, Chris",2024-03-01,Housing Services,Place
15377004,"Ball, Chris",2024-03-01,Housing Services,Place
15377104,"Ball, Chris",2024-03-01,Environmental Services,Place
15384560,"Ball, Chris",2024-03-01,Planning and Regulation,Place
15396716,"Ball, Chris",2024-03-01,Environmental Services,Place
15417264,"Ball, Chris",2024-03-01,Exchequer Services,Finance
15417470,"Ball, Chris",2024-03-01,Housing Services,Place
15480244,"Ball, Chris",2024-03-01,Environmental Services,Place
15491600,"Ball, Chris",2024-04-01,"Highways, Traffic and Infrastructure",Place
15509184,"Ball, Chris",2024-04-01,Planning and Regulation,Place
15509385,"Ball, Chris",2024-04-01,Leisure Parks and Open Spaces,Place
15535852,"Ball, Chris",2024-04-01,Exchequer Services,Finance
15536052,"Ball, Chris",2024-04-01,Housing Services,Place
15537752,"Ball, Chris",2024-04-01,Strategic Planning,Place
15539652,"Ball, Chris",2024-04-01,Housing Services,Place
15556608,"Ball, Chris",2024-04-01,Exchequer Services,Finance
15615405,"Ball, Chris",2024-05-01,"Mash, Referral & Assessment, Family Support & Child Protection",Childrens Social Care
15619432,"Ball, Chris",2024-05-01,Housing Services,Place
15635456,"Ball, Chris",2024-05-01,Environmental Services,Place
15646848,"Ball, Chris",2024-05-01,Housing Services,Place
15649448,"Ball, Chris",2024-05-01,Environmental Services,Place
15665224,"Ball, Chris",2024-05-01,Housing Services,Place
15706648,"Ball, Chris",2024-06-01,Planning and Regulation,Place
15729396,"Ball, Chris",2024-06-01,Housing Services,Place
15739750,"Ball, Chris",2024-06-01,Planning and Regulation,Place
15799084,"Ball, Chris",2024-06-01,Housing Services,Place
14194884,"Betts, Nigel",2023-07-01,Housing Services,Place
14278180,"Betts, Nigel",2023-07-01,Environmental Services,Place
14485052,"Betts, Nigel",2023-09-01,Leisure Parks and Open Spaces,Place
14577204,"Betts, Nigel",2023-09-01,Environmental Services,Place
14628684,"Betts, Nigel",2023-10-01,Environmental Services,Place
14902648,"Betts, Nigel",2023-11-01,"Highways, Traffic and Infrastructure",Place
15417064,"Betts, Nigel",2024-03-01,Housing Services,Place
15555208,"Betts, Nigel",2024-04-01,"Property, Assets and Facilities Management",Finance
14259188,"Bishop, Brian",2023-07-01,Housing Services,Place
14277780,"Bishop, Brian",2023-07-01,Environmental Services,Place
14414784,"Bishop, Brian",2023-08-01,Environmental Services,Place
14438736,"Bishop, Brian",2023-08-01,Leisure Parks and Open Spaces,Place
14463124,"Bishop, Brian",2023-08-01,Planning and Regulation,Place
14467556,"Bishop, Brian",2023-09-01,Planning and Regulation,Place
14628384,"Bishop, Brian",2023-10-01,Planning and Regulation,Place
14646280,"Bishop, Brian",2023-10-01,Housing Services,Place
14823668,"Bishop, Brian",2023-11-01,Integrated Commissioning,Adult Social Care & Health
14848596,"Bishop, Brian",2023-11-01,Housing Services,Place
14865292,"Bishop, Brian",2023-11-01,Housing Services,Place
14948268,"Bishop, Brian",2023-12-01,Housing Services,Place
15032904,"Bishop, Brian",2024-01-01,"Highways, Traffic and Infrastructure",Place
15062192,"Bishop, Brian",2024-01-01,Housing Services,Place
15171424,"Bishop, Brian",2024-01-01,Housing Services,Place
15248180,"Bishop, Brian",2024-02-01,Environmental Services,Place
15316444,"Bishop, Brian",2024-02-01,"Highways, Traffic and Infrastructure",Place
15497564,"Bishop, Brian",2024-04-01,Parking Enforcement (Bexley and Bromley),Place
15532556,"Bishop, Brian",2024-04-01,Environmental Services,Place
15536352,"Bishop, Brian",2024-04-01,Leisure Parks and Open Spaces,Place
15579288,"Bishop, Brian",2024-04-01,Housing Services,Place
15660234,"Bishop, Brian",2024-05-01,Housing Services,Place
15687832,"Bishop, Brian",2024-05-01,Housing Services,Place
15754354,"Bishop, Brian",2024-06-01,Environmental Services,Place
14299304,"Borella, Stefano",2023-07-01,Planning and Regulation,Place
14356048,"Borella, Stefano",2023-08-01,Environmental Services,Place
14410420,"Borella, Stefano",2023-08-01,"Highways, Traffic and Infrastructure",Place
14600824,"Borella, Stefano",2023-09-01,Housing Services,Place
14759960,"Borella, Stefano",2023-10-01,Environmental Services,Place
14822868,"Borella, Stefano",2023-11-01,"Highways, Traffic and Infrastructure",Place
14854728,"Borella, Stefano",2023-11-01,Public Health,Adult Social Care & Health
14870024,"Borella, Stefano",2023-11-01,Environmental Services,Place
14876124,"Borella, Stefano",2023-11-01,"Highways, Traffic and Infrastructure",Place
15030006,"Borella, Stefano",2024-01-01,"Highways, Traffic and Infrastructure",Place
15081948,"Borella, Stefano",2024-01-01,Planning and Regulation,Place
15098912,"Borella, Stefano",2024-01-01,Housing Services,Place
15099412,"Borella, Stefano",2024-01-01,Environmental Services,Place
15162296,"Borella, Stefano",2024-01-01,"Highways, Traffic and Infrastructure",Place
15191548,"Borella, Stefano",2024-02-01,Environmental Services,Place
15206604,"Borella, Stefano",2024-02-01,Planning and Regulation,Place
15234388,"Borella, Stefano",2024-02-01,Environmental Services,Place
15337632,"Borella, Stefano",2024-03-01,"Highways, Traffic and Infrastructure",Place
15400244,"Borella, Stefano",2024-03-01,Planning and Regulation,Place
15423924,"Borella, Stefano",2024-03-01,"Highways, Traffic and Infrastructure",Place
15463920,"Borella, Stefano",2024-04-01,"School Expansion, Transport and Admissions",Educational Achievement & Inclusion
15687932,"Borella, Stefano",2024-05-01,Complex Care,Adult Social Care & Health
14202716,"Brooks, Frazer",2023-07-01,"Highways, Traffic and Infrastructure",Place
14666604,"Brooks, Frazer",2023-10-01,Planning and Regulation,Place
14699788,"Brooks, Frazer",2023-10-01,Parking Enforcement (Bexley and Bromley),Place
14766760,"Brooks, Frazer",2023-10-01,Housing Services,Place
15193148,"Brooks, Frazer",2024-02-01,Environmental Services,Place
14238400,"Carew, Bola",2023-07-01,"Property, Assets and Facilities Management",Finance
14291908,"Carew, Bola",2023-07-01,Housing Services,Place
14311235,"Carew, Bola",2023-08-01,Environmental Services,Place
14519900,"Carew, Bola",2023-09-01,"Highways, Traffic and Infrastructure",Place
14531928,"Carew, Bola",2023-09-01,"Highways, Traffic and Infrastructure",Place
14626185,"Carew, Bola",2023-09-01,Leisure Parks and Open Spaces,Place
14708852,"Carew, Bola",2023-10-01,"Highways, Traffic and Infrastructure",Place
14804276,"Carew, Bola",2023-11-01,"Looked after Children, Permanence and Specialist Services",Childrens Social Care
14927740,"Carew, Bola",2023-12-01,Environmental Services,Place
14930840,"Carew, Bola",2023-11-01,"Highways, Traffic and Infrastructure",Place
14934504,"Carew, Bola",2023-12-01,Housing Services,Place
15137336,"Carew, Bola",2024-01-01,Leisure Parks and Open Spaces,Place
15170424,"Carew, Bola",2024-01-01,Planning and Regulation,Place
15172924,"Carew, Bola",2024-01-01,Planning and Regulation,Place
15185152,"Carew, Bola",2024-02-01,Environmental Services,Place
15210236,"Carew, Bola",2024-02-01,Housing Services,Place
15217868,"Carew, Bola",2024-02-01,Planning and Regulation,Place
15234888,"Carew, Bola",2024-02-01,Planning and Regulation,Place
15238788,"Carew, Bola",2024-02-01,Housing Services,Place
15257244,"Carew, Bola",2024-02-01,Planning and Regulation,Place
15263108,"Carew, Bola",2024-02-01,"Highways, Traffic and Infrastructure",Place
15321808,"Carew, Bola",2024-03-01,"Highways, Traffic and Infrastructure",Place
15417465,"Carew, Bola",2024-03-01,"Highways, Traffic and Infrastructure",Place
15486008,"Carew, Bola",2024-03-01,Planning and Regulation,Place
15543684,"Carew, Bola",2024-04-01,Environmental Services,Place
15545348,"Carew, Bola",2024-04-01,Planning and Regulation,Place
15644084,"Carew, Bola",2024-05-01,Planning and Regulation,Place
15649648,"Carew, Bola",2024-05-01,Economic Skills and Development,Place
15719372,"Carew, Bola",2024-06-01,"Mash, Referral & Assessment, Family Support & Child Protection",Childrens Social Care
15722536,"Carew, Bola",2024-06-01,Planning and Regulation,Place
14835732,"Catterall, Christine",2023-11-01,"Highways, Traffic and Infrastructure",Place
14285744,"Christoforides, Kurtis",2023-07-01,Housing Services,Place
14453460,"Christoforides, Kurtis",2023-08-01,Environmental Services,Place
14485552,"Christoforides, Kurtis",2023-09-01,Planning and Regulation,Place
14496780,"Christoforides, Kurtis",2023-09-01,"Highways, Traffic and Infrastructure",Place
14636616,"Christoforides, Kurtis",2023-10-01,Economic Skills and Development,Place
14650276,"Christoforides, Kurtis",2023-10-01,Environmental Services,Place
14651976,"Christoforides, Kurtis",2023-10-01,Environmental Services,Place
14876224,"Christoforides, Kurtis",2023-11-01,Housing Services,Place
14880020,"Christoforides, Kurtis",2023-11-01,Planning and Regulation,Place
14933704,"Christoforides, Kurtis",2023-12-01,Parking Enforcement (Bexley and Bromley),Place
14936504,"Christoforides, Kurtis",2023-12-01,Planning and Regulation,Place
14976392,"Christoforides, Kurtis",2023-12-01,"Highways, Traffic and Infrastructure",Place
15128304,"Christoforides, Kurtis",2024-01-01,Housing Services,Place
15148368,"Christoforides, Kurtis",2024-01-01,Environmental Services,Place
15225500,"Christoforides, Kurtis",2024-02-01,Environmental Services,Place
15396116,"Christoforides, Kurtis",2024-03-01,Leisure Parks and Open Spaces,Place
15441576,"Christoforides, Kurtis",2024-03-01,Environmental Services,Place
15624364,"Christoforides, Kurtis",2024-05-01,Environmental Services,Place
15678640,"Christoforides, Kurtis",2024-05-01,Planning and Regulation,Place
15681040,"Christoforides, Kurtis",2024-05-01,Housing Services,Place
15689896,"Christoforides, Kurtis",2024-05-01,Environmental Services,Place
15794388,"Christoforides, Kurtis",2024-06-01,Environmental Services,Place
15795688,"Christoforides, Kurtis",2024-06-01,"Highways, Traffic and Infrastructure",Place
15723368,"Craske, Peter",2024-06-01,Environmental Services,Place
14618152,"Crouch, Tracey",2023-10-01,Housing Services,Place
14230601,"Curtois, Andrew",2023-07-01,Leisure Parks and Open Spaces,Place
14235500,"Curtois, Andrew",2023-07-01,"Highways, Traffic and Infrastructure",Place
14237000,"Curtois, Andrew",2023-07-01,Parking Enforcement (Bexley and Bromley),Place
14345884,"Curtois, Andrew",2023-08-01,Planning and Regulation,Place
14401692,"Curtois, Andrew",2023-08-01,Leisure Parks and Open Spaces,Place
14425845,"Curtois, Andrew",2023-08-01,Planning and Regulation,Place
14433508,"Curtois, Andrew",2023-08-01,Parking Enforcement (Bexley and Bromley),Place
14443664,"Curtois, Andrew",2023-08-01,Housing Services,Place
14498280,"Curtois, Andrew",2023-09-01,Environmental Services,Place
14564644,"Curtois, Andrew",2023-09-01,Planning and Regulation,Place
14565444,"Curtois, Andrew",2023-09-01,Environmental Services,Place
14571672,"Curtois, Andrew",2023-09-01,Complex Care,Adult Social Care & Health
14597360,"Curtois, Andrew",2023-09-01,Housing Services,Place
14604624,"Curtois, Andrew",2023-09-01,"Highways, Traffic and Infrastructure",Place
14670204,"Curtois, Andrew",2023-10-01,Housing Services,Place
14710252,"Curtois, Andrew",2023-10-01,"Highways, Traffic and Infrastructure",Place
14744632,"Curtois, Andrew",2023-10-01,"Highways, Traffic and Infrastructure",Place
14825668,"Curtois, Andrew",2023-11-01,Leisure Parks and Open Spaces,Place
14852128,"Curtois, Andrew",2023-11-01,"Highways, Traffic and Infrastructure",Place
14890284,"Curtois, Andrew",2023-11-01,Housing Services,Place
14948968,"Curtois, Andrew",2023-12-01,Housing Services,Place
14953733,"Curtois, Andrew",2023-12-01,Parking Enforcement (Bexley and Bromley),Place
14971160,"Curtois, Andrew",2023-12-01,Leisure Parks and Open Spaces,Place
14979592,"Curtois, Andrew",2023-12-01,"School Expansion, Transport and Admissions",Educational Achievement & Inclusion
14980456,"Curtois, Andrew",2023-12-01,Safeguarding Adults,Adult Social Care & Health
15011180,"Curtois, Andrew",2023-12-01,"Highways, Traffic and Infrastructure",Place
15016712,"Curtois, Andrew",2023-12-01,Housing Services,Place
15017312,"Curtois, Andrew",2023-12-01,"Highways, Traffic and Infrastructure",Place
15025508,"Curtois, Andrew",2023-12-01,Environmental Services,Place
15052496,"Curtois, Andrew",2024-01-01,Libraries and Communities,Place
15075816,"Curtois, Andrew",2024-01-01,Planning and Regulation,Place
15099512,"Curtois, Andrew",2024-01-01,0-25 SEND,Educational Achievement & Inclusion
15114009,"Curtois, Andrew",2024-01-01,Housing Services,Place
15146268,"Curtois, Andrew",2024-01-01,"Highways, Traffic and Infrastructure",Place
15210536,"Curtois, Andrew",2024-02-01,Planning and Regulation,Place
15212636,"Curtois, Andrew",2024-02-01,Environmental Services,Place
15241984,"Curtois, Andrew",2024-02-01,Housing Services,Place
15242784,"Curtois, Andrew",2024-02-01,"Highways, Traffic and Infrastructure",Place
15351720,"Curtois, Andrew",2024-03-01,Exchequer Services,Finance
15419364,"Curtois, Andrew",2024-03-01,"Highways, Traffic and Infrastructure",Place
15464320,"Curtois, Andrew",2024-03-01,"Highways, Traffic and Infrastructure",Place
15477545,"Curtois, Andrew",2024-04-01,Planning and Regulation,Place
15538752,"Curtois, Andrew",2024-04-01,Leisure Parks and Open Spaces,Place
15558308,"Curtois, Andrew",2024-04-01,"Highways, Traffic and Infrastructure",Place
15633356,"Curtois, Andrew",2024-05-01,Housing Services,Place
15652440,"Curtois, Andrew",2024-05-01,Environmental Services,Place
15668624,"Curtois, Andrew",2024-05-01,Housing Services,Place
15759280,"Curtois, Andrew",2024-06-01,Exchequer Services,Finance
15767136,"Curtois, Andrew",2024-06-01,Environmental Services,Place
15274540,"Daby, Janet",2024-02-01,Housing Services,Place
14157064,"Davey, John",2023-07-01,Leisure Parks and Open Spaces,Place
14161996,"Davey, John",2023-07-01,Planning and Regulation,Place
14197817,"Davey, John",2023-07-01,Leisure Parks and Open Spaces,Place
14471688,"Davey, John",2023-09-01,Environmental Services,Place
14473420,"Davey, John",2023-09-01,Environmental Services,Place
14568444,"Davey, John",2023-09-01,Leisure Parks and Open Spaces,Place
14807576,"Davey, John",2023-11-01,"Highways, Traffic and Infrastructure",Place
14826468,"Davey, John",2023-11-01,"Highways, Traffic and Infrastructure",Place
15187652,"Davey, John",2024-02-01,Planning and Regulation,Place
15209537,"Davey, John",2024-02-01,Leisure Parks and Open Spaces,Place
15536752,"Davey, John",2024-04-01,Parking Enforcement (Bexley and Bromley),Place
15600928,"Davey, John",2024-05-01,Parking Enforcement (Bexley and Bromley),Place
15740449,"Davey, John",2024-06-01,Parking Enforcement (Bexley and Bromley),Place
15804540,"Davey, John",2024-06-01,Leisure Parks and Open Spaces,Place
14269284,"Day, Anna",2023-07-01,Environmental Services,Place
14337888,"Day, Anna",2023-08-01,Housing Services,Place
14428344,"Day, Anna",2023-08-01,Housing Services,Place
14441436,"Day, Anna",2023-08-01,Parking Enforcement (Bexley and Bromley),Place
14445164,"Day, Anna",2023-08-01,Housing Services,Place
14495780,"Day, Anna",2023-09-01,Environmental Services,Place
14577804,"Day, Anna",2023-09-01,Parking Enforcement (Bexley and Bromley),Place
14650376,"Day, Anna",2023-10-01,Complex Care,Adult Social Care & Health
14723376,"Day, Anna",2023-10-01,Leisure Parks and Open Spaces,Place
14807976,"Day, Anna",2023-11-01,"Highways, Traffic and Infrastructure",Place
14834000,"Day, Anna",2023-11-01,Housing Services,Place
14928140,"Day, Anna",2023-12-01,Environmental Services,Place
14940736,"Day, Anna",2023-12-01,"School Expansion, Transport and Admissions",Educational Achievement & Inclusion
15073788,"Day, Anna",2024-01-01,Housing Services,Place
15093512,"Day, Anna",2024-01-01,Planning and Regulation,Place
15176088,"Day, Anna",2024-01-01,"Highways, Traffic and Infrastructure",Place
15211236,"Day, Anna",2024-02-01,"Highways, Traffic and Infrastructure",Place
15225600,"Day, Anna",2024-02-01,"Highways, Traffic and Infrastructure",Place
15226000,"Day, Anna",2024-02-01,"Highways, Traffic and Infrastructure",Place
15239688,"Day, Anna",2024-02-01,Environmental Services,Place
15327736,"Day, Anna",2024-03-01,Strategic Planning,Place
15327937,"Day, Anna",2024-03-01,Libraries and Communities,Place
15400944,"Day, Anna",2024-03-01,Leisure Parks and Open Spaces,Place
15468780,"Day, Anna",2024-04-01,Housing Services,Place
15482676,"Day, Anna",2024-03-01,Environmental Services,Place
15519176,"Day, Anna",2024-04-01,"Highways, Traffic and Infrastructure",Place
15556909,"Day, Anna",2024-04-01,Housing Services,Place
15558008,"Day, Anna",2024-04-01,"Highways, Traffic and Infrastructure",Place
15668724,"Day, Anna",2024-05-01,Housing Services,Place
15675880,"Day, Anna",2024-05-01,"Highways, Traffic and Infrastructure",Place
15680640,"Day, Anna",2024-05-01,Housing Services,Place
15697956,"Day, Anna",2024-05-01,Exchequer Services,Finance
15708449,"Day, Anna",2024-06-01,Housing Services,Place
15721836,"Day, Anna",2024-06-01,"Highways, Traffic and Infrastructure",Place
15726533,"Day, Anna",2024-06-01,Housing Services,Place
14762660,"Di Netimah, Felix",2023-10-01,Environmental Services,Place
14150564,"Diment, Richard",2023-07-01,"Highways, Traffic and Infrastructure",Place
14180224,"Diment, Richard",2023-07-01,Environmental Services,Place
14184320,"Diment, Richard",2023-07-01,Housing Services,Place
14563145,"Diment, Richard",2023-09-01,Leisure Parks and Open Spaces,Place
14823268,"Diment, Richard",2023-11-01,"Highways, Traffic and Infrastructure",Place
14963996,"Diment, Richard",2023-12-01,Environmental Services,Place
14987952,"Diment, Richard",2023-12-01,Environmental Services,Place
14992652,"Diment, Richard",2023-12-01,Complex Care,Adult Social Care & Health
14995152,"Diment, Richard",2023-12-01,Leisure Parks and Open Spaces,Place
15148068,"Diment, Richard",2024-01-01,"Highways, Traffic and Infrastructure",Place
15172124,"Diment, Richard",2024-01-01,Exchequer Services,Finance
15241884,"Diment, Richard",2024-02-01,Exchequer Services,Finance
15451504,"Diment, Richard",2024-04-01,Environmental Services,Place
15456100,"Diment, Richard",2024-04-01,Integrated Commissioning,Adult Social Care & Health
15479744,"Diment, Richard",2024-04-01,"Highways, Traffic and Infrastructure",Place
15799976,"Diment, Richard",2024-06-01,Environmental Services,Place
14466856,"Dourmoush, Andy",2023-09-01,Environmental Services,Place
14664304,"Dourmoush, Andy",2023-10-01,"Highways, Traffic and Infrastructure",Place
15104676,"Dourmoush, Andy",2024-01-01,Parking Enforcement (Bexley and Bromley),Place
15146468,"Dourmoush, Andy",2024-01-01,Housing Services,Place
14164397,"Evennett, David",2023-07-01,Complex Care,Adult Social Care & Health
14164597,"Evennett, David",2023-07-01,Complex Care,Adult Social Care & Health
14179424,"Evennett, David",2023-07-01,Housing Services,Place
14188320,"Evennett, David",2023-07-01,Housing Services,Place
14197617,"Evennett, David",2023-07-01,Housing Services,Place
14205912,"Evennett, David",2023-07-01,"Mash, Referral & Assessment, Family Support & Child Protection",Childrens Social Care
14230000,"Evennett, David",2023-07-01,Housing Services,Place
14232202,"Evennett, David",2023-07-01,Environmental Services,Place
14250328,"Evennett, David",2023-07-01,Housing Services,Place
14298004,"Evennett, David",2023-07-01,"School Expansion, Transport and Admissions",Educational Achievement & Inclusion
14307768,"Evennett, David",2023-08-01,Housing Services,Place
14313733,"Evennett, David",2023-08-01,Complex Care,Adult Social Care & Health
14346984,"Evennett, David",2023-08-01,Housing Services,Place
14355448,"Evennett, David",2023-08-01,Environmental Services,Place
14355949,"Evennett, David",2023-08-01,Housing Services,Place
14382568,"Evennett, David",2023-08-01,Exchequer Services,Finance
14475220,"Evennett, David",2023-09-01,Complex Care,Adult Social Care & Health
14476420,"Evennett, David",2023-09-01,Housing Services,Place
14476820,"Evennett, David",2023-09-01,Housing Services,Place
14483552,"Evennett, David",2023-09-01,Housing Services,Place
14510476,"Evennett, David",2023-09-01,0-25 SEND,Educational Achievement & Inclusion
14556180,"Evennett, David",2023-09-01,Housing Services,Place
14576904,"Evennett, David",2023-09-01,Housing Services,Place
14601924,"Evennett, David",2023-09-01,Housing Services,Place
14613120,"Evennett, David",2023-10-01,Housing Services,Place
14620552,"Evennett, David",2023-10-01,0-25 SEND,Educational Achievement & Inclusion
14627084,"Evennett, David",2023-10-01,Complex Care,Adult Social Care & Health
14627784,"Evennett, David",2023-10-01,Housing Services,Place
14651476,"Evennett, David",2023-10-01,Housing Services,Place
14679296,"Evennett, David",2023-10-01,"School Expansion, Transport and Admissions",Educational Achievement & Inclusion
14699088,"Evennett, David",2023-10-01,Housing Services,Place
14699588,"Evennett, David",2023-10-01,Housing Services,Place
14724576,"Evennett, David",2023-10-01,Housing Services,Place
14733240,"Evennett, David",2023-10-01,Exchequer Services,Finance
14736736,"Evennett, David",2023-10-01,Housing Services,Place
14806277,"Evennett, David",2023-11-01,Housing Services,Place
14806976,"Evennett, David",2023-11-01,Housing Services,Place
14854729,"Evennett, David",2023-11-01,Housing Services,Place
14874024,"Evennett, David",2023-11-01,"School Expansion, Transport and Admissions",Educational Achievement & Inclusion
14904448,"Evennett, David",2023-11-01,Housing Services,Place
14948168,"Evennett, David",2023-12-01,Housing Services,Place
15055596,"Evennett, David",2024-01-01,Housing Services,Place
15060892,"Evennett, David",2024-01-01,Housing Services,Place
15068224,"Evennett, David",2024-01-01,Housing Services,Place
15073588,"Evennett, David",2024-01-01,Housing Services,Place
15114708,"Evennett, David",2024-01-01,Housing Services,Place
15137936,"Evennett, David",2024-01-01,Housing Services,Place
15200544,"Evennett, David",2024-02-01,"Highways, Traffic and Infrastructure",Place
15243284,"Evennett, David",2024-02-01,Housing Services,Place
15278736,"Evennett, David",2024-02-01,0-25 SEND,Educational Achievement & Inclusion
15288100,"Evennett, David",2024-02-01,Housing Services,Place
15358484,"Evennett, David",2024-03-01,Integrated Rehabilitation,Adult Social Care & Health
15533556,"Evennett, David",2024-04-01,"Highways, Traffic and Infrastructure",Place
15538152,"Evennett, David",2024-04-01,Housing Services,Place
15543284,"Evennett, David",2024-03-01,Housing Services,Place
15559708,"Evennett, David",2024-04-01,Leisure Parks and Open Spaces,Place
15640720,"Evennett, David",2024-05-01,Leisure Parks and Open Spaces,Place
15675680,"Evennett, David",2024-05-01,Housing Services,Place
15702152,"Evennett, David",2024-05-01,Housing Services,Place
15727096,"Evennett, David",2024-06-01,Complex Care,Adult Social Care & Health
15763576,"Evennett, David",2024-06-01,Housing Services,Place
14316432,"Ferguson, Larry",2023-07-01,"Highways, Traffic and Infrastructure",Place
14415748,"Ferguson, Larry",2023-08-01,Libraries and Communities,Place
14527932,"Ferguson, Larry",2023-09-01,Housing Services,Place
14555580,"Ferguson, Larry",2023-09-01,Environmental Services,Place
14564944,"Ferguson, Larry",2023-09-01,Housing Services,Place
14605724,"Ferguson, Larry",2023-09-01,"Mash, Referral & Assessment, Family Support & Child Protection",Childrens Social Care
14640580,"Ferguson, Larry",2023-10-01,Housing Services,Place
14831700,"Ferguson, Larry",2023-11-01,Housing Services,Place
14834300,"Ferguson, Larry",2023-11-01,Housing Services,Place
14859160,"Ferguson, Larry",2023-11-01,Housing Services,Place
